CoCNo,Name,Description,Expected,Value,Framework,Evidence
4.2.6,"Incentives to develop efficient software","If software development is being outsourced then include the energy use of the software in the bonus / penalty clauses of the contract. Whilst forecasting and measurement tools and methods are still being developed approximations, could be used such as the (under load) power draw of the hardware required to meet performance and availability targets. This is an extension of existing capacity planning and benchmarking processes. Performance optimisation should not be seen as a low impact area to reduce the project budget. See “Further development of software efficiency definitions” in section 11.",Optional,5,"Make the energy use performance of the software a major success factor of the project. Whilst forecasting and measurement tools and methods are still being developed approximations, could be used such as the (under load) power draw of the hardware required to meet performance and availability targets. This is an extension of existing capacity planning and benchmarking processes. Performance optimisation should not be seen as a low impact area to reduce the project budget. See “Further development of software efficiency definitions” in section 11 of the Code of Conduct.","Updated procurement guidelines for third-party software development, maintenance and management services."
4.3.1,"Audit existing physical and service estate","Audit the existing physical and logical estate to establish what equipment is in place and what service(s) it delivers. Consider the implementation of an ITIL type Configuration Management Data base and Service Catalogue. A useful standard and reference to use in support of this Practice could be ISO 55000 See Practice 3.2.7.",Entire Data Centre,5,"Organisations shall maintain a catalogue which specifies which physcial equipment is delivering which digital service, application or storage space. Note: organisations can consider ISO 55000 as well as ITIL type configuration management systems.","A configuration & asset database exists and is frequently updated. All physical equipment is allocated to at least one application, service or storage."
4.3.2,"Decommission and remove unused equipment","Completely decommission and remove any equipment that is not required or used to support services no longer in use. Installed hardware should be regularly examined to ensure that it is still required and is supporting active services. Ensure the decommissioning and removal of test and development platforms once no longer needed.",Entire Data Centre,5,"The organisation shall completely decommission and remove any equipment that is not required or used to support services no longer in use. Installed hardware should be regularly examined to ensure that it is still required and is supporting active services. Ensure the decommissioning and removal of test and development platforms once no longer needed. The organisation shall document the IT equipment and their usage and use that report on decision on decommissioning. IT monitoring system reporting the average utilization rate per server over set time periods is available.","Updated guidelines on how idling equipment should be treated and optimized."
4.3.3,"Virtualise and archive legacy services","Servers or services which cannot be decommissioned for compliance or other reasons but which are not used on a regular basis should be virtualised and then the disk images archived to a low power media. These services can then be brought online when genuinely required.",Optional,5,"The organisation shall ensure that servers or services which cannot be decommissioned for compliance or other reasons but which are not used on a regular basis should be virtualised and then the disk images archived to a low power media. These services can then be brought online when genuinely required. The organisation shall have a process to virtualize and archive any non-essential servers/services to low power media.","Documented process."
4.3.4,"Consolidation of existing services","Existing services that do not achieve high utilisation of their hardware should be consolidated through the use of resource sharing technologies to improve the use of physical resources. This applies to servers, storage and networking devices.",Entire Data Centre,5,"The organisation shall consolidate services that do not achieve high utilisation through the use of resource sharing technologies to improve the use of physical resources. This applies to servers, storage and networking devices. IT monitoring system reporting the average utilization rate per server over set time periods is available.","Updated guidelines on how idling equipment should be treated and optimized."
4.3.5,"Decommission of low business value services","Identify services whose business value or criticality is low and that do not justify the financial or environmental overhead. Consider decommissioning or archiving these services or remove to locations with less reliability / resilience to reduce energy and financial overhead.",Entire Data Centre,4,"The organisation shall decommission, archive or move to locations with less reliability/resilience any services with less business value and criticality and without justifying financial and environmental overhead. A report on the business value, criticality and the financial overhead of the services is available.","Updated guidelines on how less critical equipment should be treated and optimized."
4.3.6,"Shut down and consider removal of idle equipment","Servers, networking and storage equipment that is idle for significant time and cannot be virtualised or archived should be shut down or put into a low power ‘sleep’ state. Complete removal should also be considered. Note: It will be necessary to validate the ability of legacy applications and hardware to survive these state changes without loss of function or reliability.",Entire Data Centre,4,"The organisation shall identify servers, networking and storage equipment that are idle for significant time and those that cannot be virtualised or archived should be shut down or put into a low power ‘sleep’ state. Complete removal should also be considered. Note: It will be necessary to validate the ability of legacy applications and hardware to survive these state changes without loss of function or reliability. The organisation should either remove, put into sleep-mode or virtualize equipment which is idling significantly (total resource utilization of memory, storage and CPU less than <25% over a 30 day period). Legacy applications should be migrated to a virtualized environment or archived if they lead to significant equipment being kept available but left idling. IT monitoring system reporting the average utilization rate per server over set time periods is available.","Updated guidelines on how idling equipment should be treated and optimized. Project documentation."
4.3.8,"Audit of existing IT equipment environmental requirements","Identify the allowable intake temperature and humidity ranges for existing installed IT equipment. Equipment with restrictive intake temperature ranges should be identified so that it may be either marked for replacement with newer equipment capable of a wider intake range or moved and dealt with according to Practices 'Equipment segregation' (5.1.11) and 'Separate environmental zones' (5.1.4 and 5.1.5).",Entire Data Centre,4,"The organisation shall identify the allowable intake temperature and humidity ranges for existing installed IT equipment. Equipment with restrictive intake temperature ranges shall be identified so that it should be either marked for replacement with newer equipment capable of a wider intake range or moved and dealt with according to Best Practices 'Separate environmental zones' (5.1.4 and 5.1.5) and 'Equipment segregation' (5.1.11) of this Framework . The organisation shall create a report on the operating environmental ranges of devices.","Environmental range report"
4.4.1,"Data management policy","Develop a data management policy to define which data should be kept, for how long and at what level of protection. Communicate the policy to users and enforce. Particular care should be taken to understand the energy consumption impact of any data retention requirements.",Entire Data Centre,3,"The organisation shall develop a data management policy to define which data should be kept, for how long and at what level of protection. Communicate the policy (via an acceptable use policy or storage policy) to users and enforce. Particular care should be taken to understand the energy consumption impact of any data retention requirements. The organisation shall implement a retention- & energy-based data management strategy which should support user-level requirement setting on retention duration, priority, redundancy etc. Each user shall receive reporting on their data usage as well as the associated energy- and resource-utilization. Data policy & configuration system is accessible for users in the organisation. Reporting on the energy- usage of storage space is available to users on a monthly basis.","Data storage options are available that can respond to user & policy requirements."
5.1.1,"Design – Hot / Cold aisle","As the power densities and airflow volumes of IT equipment have increased it has become necessary to ensure that equipment shares an airflow direction, within the cabinet, in adjacent cabinets and across aisles.The hot / cold aisle concept aligns equipment air flow to create aisles between cabinets that are fed cold air from which all of the equipment draws intake air in conjunction with hot aisles with no cold air feed to which all equipment exhausts air. Reinforce Hot / Cold aisle design with empty but fully blanked cabinets (or solid doors) rather than leaving gaps in aisles.",New IT equipment and New build of retrofit,5,"The organisation shall adopt a hot & cold airflow management concept. Note: the intention is to align equipment air flow to create aisles between cabinets that are fed cold air from which all of the equipment draws intake air in conjunction with hot aisles with no cold air feed to which all equipment exhausts air. Reinforce Hot/Cold aisle design with empty but fully blanked cabinets (or solid doors) rather than leaving gaps in aisles.","Approved data centre operation procedures document, data from BMS, EMS and DCiM if in use, physical inspection and updated Design documents"
5.1.2,"Design – Contained hot or cold air","There are a number of design concepts whose basic intent is to contain and separate the cold air from the heated return air on the data floor; - Hot aisle containment - Cold aisle containment - Contained cabinet supply, - Contained room return and room supply. - Contained cabinet return, and cabinet chimneys. - Contained cabinet supply, Contained cabinet return. Note: Failure to contain air flow results in both a reduction in achievable cooling efficiency and an increase in risk. Changes in IT hardware and IT management tools mean that the airflow and heat output of IT devices is no longer constant and may vary rapidly due to power management and workload allocation tools. This may result in rapid changes to data floor airflow pattern and IT equipment intake temperature which cannot be easily predicted or prevented. This Practice supersedes Practice 5.1.1 when implemented.",New build of retrofit,5,"The organisation shall adapt these data centre design concepts that contain hot and cold air. Note: Examples include: - Hot aisle containment - Cold aisle containment - Contained cabinet supply, - Contained room return and room supply. - Contained cabinet return, and cabinet chimneys. - Contained cabinet supply, Contained cabinet return - Reardoor cooling","Approved data centre operation procedures document, data from BMS, EMS and DCiM if in use, physical inspection and updated Design documents"
5.1.3,"Design – Contained hot or cold air – Retrofit","Where hot / cold aisle separation is already in use but there is no containment of hot or cold air it is possible to retrofit to provide basic separation for example using curtains or other methods. Care should be taken to assess and verify fire system requirements and regulations.",New build of retrofit,4,"Where hot/cold aisle separation is already in use but there is no containment of hot or cold air, the organisation shall retrofit to provide basic separation for example using curtains or other methods. Note: Care should be taken to assess and verify fire system requirements and regulations.","Approved data centre operation procedures document, data from BMS, EMS and DCiM if in use, physical inspection and updated Design documents"
5.1.4,"Cabinet air flow management – Blanking Plates","Installation of blanking plates where there is no equipment to reduce hot air re-circulating through gaps in the cabinet. This reduces air heated by one device being ingested by another device, increasing intake temperature and reducing efficiency.",Entire Data Centre,4,"The organisation shall have processes (during provisioning and data centre operation) to install blanking plates where there is no equipment to reduce hot air re-circulating through gaps in the cabinet.","Approved data centre operation procedures document, data from BMS, EMS and DCiM if in use, physical inspection and updated Design documents"
5.1.5,"Cabinet air flow management – Other openings","Installation of aperture brushes (draught excluders) or cover plates to cover all air leakage opportunities in each cabinet. This includes;␟ floor openings at the base of the cabinet␟ Gaps at the sides, top and bottom of the cabinet between equipment or mounting rails and the perimeter of the cabinet",New build of retrofit,3,"The organisation shall have processes (during provisioning and data centre operation) to install aperture brushes (draught excluders) or cover plates to cover all air leakage opportunities in each cabinet. Note: This includes floor openings at the base of the cabinet, Gaps at the sides, top and bottom ofthe cabinet between equipment or mounting rails and the perimeter of the cabinet. Not limited to aperture brushes, but blankings shades, cabinet side panel, cool boots, cool air inlet ducts and sealed outlets.","Approved data centre operation procedures document, data from BMS, EMS and DCiM if in use, physical inspection and updated Design documents"
5.1.6,"Provide adequate free area on cabinet doors","Solid doors should be replaced (where cooling ventilation is necessary), with perforated doors to ensure adequate cooling airflow. Solid doors impede the cooling airflow and promote recirculation within the enclosed cabinet increasing equipment inlet temperatures. ISO/IEC 14763-2 recommends a minimum of at least 66% perforated area. 80% is considered an ideal target by other authorities.",New IT equipment and New build or retrofit,3,"The organisation shall have processes (during provisioning and data centre operation) to install perforated doors to ensure adequate cooling airflow. Note: Solid doors impede the cooling airflow and promote recirculation within the enclosed cabinet increasing equipment inlet temperatures. EN 50174-2 recommends a minimum of at least 66% perforated area. 80% is considered an ideal target by other organisations.","Approved data centre operation procedures document, data from BMS, EMS and DCiM if in use, physical inspection and updated Design documents"
5.1.7,"Raised floor air flow management","Close all unwanted apertures in the raised floor. Review placement and opening factors of vented tiles to reduce bypass. Maintain unbroken rows of cabinets to prevent re-circulated air. If necessary fill with empty fully blanked cabinets. Managing unbroken rows is especially important in hot and cold aisle environments. Any opening between the aisles will degrade the separation of hot and cold air.",Entire Data Centre,3,"The organisation shall have processes (during provisioning and data centre operation) to Close all unwanted apertures in the raised floor. Note: Review placement and opening factors of vented tiles to reduce bypass. Maintain unbroken rows of cabinets to prevent re-circulated air. If necessary fill with empty fully blanked cabinets. Managing unbroken rows is especially important in hot and cold aisle environments. Any opening between the aisles will degrade the separation of hot and cold air.","Approved data centre operation procedures document, data from BMS, EMS and DCiM if in use, physical inspection and updated Design documents"
5.1.8,"Raised floor air flow management – Obstructions","Review the placement and level of obstruction created by cabling, cable trays and other structures in the airflow paths, these obstruct airflow and create turbulence, increasing the resistance and increasing the energy requirements of air movement and may increase velocities, causing negative pressure. Ensure that the under-floor area is as free of obstructions as possible. The use of overhead cabling trays can substantially reduce the level of obstruction.",Entire Data Centre,3,"The organisation shall have processes (during provisioning and data centre operation) to review the placement and level of obstruction created by cabling, cable trays and other structures in the air flow paths. Note: these obstruct airflow and create turbulence, increasing the resistance and increasing the energy requirements of air movement and may increase velocities, causing negative pressure. Ensure that the under-floor area is as free of obstructions as possible. The use of overhead cabling trays can substantially reduce the level of obstruction.","Approved data centre operation procedures document, data from BMS, EMS and DCiM if in use, physical inspection and updated Design documents"
5.1.11,"Equipment segregation","Deploy groups of equipment with substantially different environmental requirements and / or equipment airflow direction in a separate area. Where equipment has different environmental requirements it is preferable to provide separate environmental controls.This objective of this Practice is to address the issue of the data centre cooling plant settings being constrained by the equipment with the most restrictive environmental range or poor air flow control as this compromises the efficiency of the entire data centre. Note: This Practice applies to IT, mechanical and electrical equipment installed in the datacentre.",New IT equipment and New build of retrofit,3,"The organisation shall deploy groups of equipment with substantially different environmental requirements and/or equipment airflow direction in a separate area, where available.","Approved data centre operation procedures document, data from BMS, EMS and DCiM if in use, physical inspection and updated Design documents"
5.1.12,"Control of supplied air flow volume minimizing over pressure","Investigate operating cooling unit fans to ensure a slight oversupply of air compared to IT equipment flow demand to minimise recirculation whilst avoiding oversupply of air volume (results in bypass and fan energy wastage). This principle is particularly applicable contained systems. In contained air systems, ensure that there is a slightly positive pressure (preferably no more than 5Pa) in the cold air stream with respect to the hot air stream.",New build of retrofit,3,"The organisation shall set operating setpoints for cooling unit fans in a way to ensure only a slight oversupply of air compared to IT equipment flow demand to minimise recirculation whilst avoiding oversupply of air volume (results in bypass and fan energy wastage). Note: This principle is particularly applicable in containement systems. In contained air systems, ensure that there is a slightly positive pressure (preferably no more than 5 Pa) in the cold air stream with respect to the hot air stream.","Approved data centre operation procedures document, data from BMS, EMS and DCiM if in use, physical inspection and updated Design documents"
5.2.2,"Shut down unnecessary cooling equipment","If the facility is not yet fully populated or space has been cleared through consolidation non variable plant such as fixed speed fan CRAC / CRAH units shall be turned off in the empty areas. Note: This should not be applied in cases where operating more plant at lower load is more efficient, e.g. variable speed drive CRAC / CRAH units.",Entire Data Centre,4,"If the facility is not yet fully populated or space has been cleared through consolidation, the organisation shall turn off non variable systems/devices such as fixed speed fan CRAC/CRAH units in the empty areas. Note: This should not be applied in cases where operating more plant at lower load is more efficient, e.g. variable speed drive CRAC/CRAH units.","Approved data centre operation procedures document, data from BMS, EMS and DCiM if in use, physical inspection and updated Design documents"
5.2.3,"Review of cooling before IT equipment changes","The availability of cooling including the placement and flow of vented tiles should be reviewed before all IT equipment changes to optimise the use of cooling resources.",Entire Data Centre,4,"The organisation shall have a process to manage the placement and the airflow of vented tiles to optimise the use of cooling resources.","Approved data centre operation procedures document, data from BMS, EMS and DCiM if in use, physical inspection and updated Design documents"
5.2.4,"Define and review of cooling strategy","Periodically review the IT equipment and cooling deployment against defined strategy.",Entire Data Centre,4,"The organisation shall have regular reviews between the operator of the DC and the customer to ensure that the cooling deployment matches against needs, forecasts and provisioning. Reviews should be documented and available for review by DC Management, customers and external auditors (with appropriate permissions).","Approved data centre operation procedures document or customer liasion document (reviews conducted as part of Best Practice 3.1.1 'Group Involvement' of this Framework, if applicable) Updated design documents"
5.2.5,"Review CRAC / CRAH Settings","Ensure that CRAC / CRAH units in occupied areas have appropriate and consistent temperature and relative humidity settings properly calibrated to avoid units working against each other. For example many CRAC / CRAH units now have the option to connect their controls and run together when installed in the same area. Care should be taken to understand and avoid any potential new failure modes or single points of failure that may be introduced.",Entire Data Centre,4,"The organisation shall have operation procedure to ensure that CRAC/CRAH units in occupied areas have appropriate and consistent temperature and relative humidity settings calibrated to avoid units working against each other. Note: For example many CRAC/CRAH units now have the option to connect their controls and run together when installed in the same area. Care should be taken to understand and avoid any potential new failure modes or single points of failure that may be introduced. BMS monitoring shall be in place to indentify failures.","Approved data centre operation procedures document, live-demonstration of BMS or updated Design documents"
5.2.7,"Effective regular maintenance of cooling plant","Implement effective regular maintenance of the cooling system in order to conserve or achieve a 'like new condition' is essential to maintain the designed cooling efficiency of the data centre. Examples include: belt tension, condenser coil fouling (water or air side), evaporator fouling etc. This includes regular filter changes to maintain air quality and reduce friction losses along with the routine monitoring of air quality and a regular technical cleaning regime (including under-floor areas if applicable).",Entire Data Centre,2,"The organisation shall implement regular (required by the manufacturer/integrator) maintenance of the cooling system to maintain the designed cooling efficiency of the data centre. The maintainance shall include operations to conserve or achieve a 'like new condition' and is essential to maintain the designed cooling efficiency of the data centre. Note: Examples include: belt tension, condenser coil fouling (water or air side), evaporator fouling etc. This includes regular filter changes to maintain air quality and reduce friction losses along with the routine monitoring of air quality and a regular technical cleaning regime (including under-floor areas if applicable).","Maintenace and service reports"
5.2.8,"Review and optimise chilled water temperature","Review and if possible increase the chilled water temperature set points to maximise the use of free cooling and reduce compressor energy consumption. Seasonal impact should be taken into account where applicable. Set points should be raised together with supply airflow set points to avoid reducing capacity. Review and if useful increase the chilled water temperature difference to reduce the water flow and thereby to reduce pump energy consumption. Where a DX system is used the evaporator temperatures should be reviewed. Electronic Expansion Valves (EEVs) allow better control and permit higher evaporator temperatures than Thermostatic Expansion Valves (TEVs).",Entire Data Centre,4,"The organisation shall review and increase the chilled water temperature set points to maximise the use of free cooling and reduce compressor energy consumption. Note: Seasonal impact should be taken into account where applicable. Set points should be raised together with supply air flow set points to avoid reducing capacity. Review and if useful increase the chilled water temperature difference to reduce the water flow and thereby to reduce pump energy consumption. Note: Where a DX system is used, the evaporator temperatures should be reviewed. Electronic Expansion Valves (EEVs) allow better control and permit higher evaporator temperatures than Thermostatic ExpansionValves (TEVs).","Approved data centre operation procedures document, live-demonstration of BMS, EMS and DCiM if in use or updated Design documents"
5.3.1,"Review and if possible raise target IT equipment intake air temperature","Data Centres should be designed and operated at their highest efficiency to deliver intake air to the IT equipment within the temperature range of 10°C to 35°C (50°F to 95°F). The current, relevant standard is the ASHRAE Class A2 allowable range for Data Centres. Operations in this range enable energy savings by reducing or eliminating overcooling. Note: Some data centres may contain equipment with legacy environmental ranges as defined in 4.1.2, the maximum temperature for these facilities will be restricted by this equipment until segregation can be achieved as described in Practices 5.1.11, 5.1.4 and 5.1.5. Note: Additional Best Practices for airflow management as defined in section 5.1 may need to be implemented at the same time to ensure successful operations. Note: Some, particularly older, IT equipment may exhibit significant increases in fan power consumption as intake temperature is increased. Validate that your IT equipment will not consume more energy than is saved in the cooling system. A summary of ASHRAE environmental guidelines can be found at: https://www.ashrae.org/File%20Library/Technical%20Resources/Publication%20Errata%20and%20Update s/90577_errata.pdf",Entire Data Centre,4,"The organisation shall design and operate the Datacenter at the upper limits of the applicable ASHRAE Standards. Note: the relevant standard is ASHRAE Class A2 range. A summary of ASHRAE environmental guidelines can be found at: https://www.ashrae.org/file%20library/technical%20resources/bookstore/supplemental%20files/referencecard_2021thermalg uidelines.pdf Note: Some data centres may contain equipment with legacy environmental ranges as defined in 4.1.2, the maximum temperature for these facilities will be restricted by this equipment until segregation can be achieved as described in Practices 5.1.11, 5.1.4 and 5.1.5.","Approved data centre operation procedures document, live-demonstration of BMS, EMS and DCiM if in use or updated Design documents"
5.3.2,"Review and widen the working humidity range","Reduce the lower humidity set point(s) of the data centre within the ASHRAE Class A2 range (–12°C DP and 8% rh to 27°C DP and 80% rh) to reduce the demand for humidification. Review and if practical increase the upper humidity set point(s) of the data floor within the current A2 humidity range of (–12°C DP and 8% rh to 27°C DP and 80% rh) to decrease the dehumidification loads within the facility.The relevant standard is the ASHRAE Class A2 allowable range for Data Centers. Note: Some data centres may contain equipment with legacy environmental ranges as defined in 4.1.2, the humidity range forthese facilities will be restricted by this equipment until segregation can be achieved as described in Practices 5.1.11, 5.1.4 and 5.1.5. Controlling humidity within a wider range of humidity ratio or relative humidity can reduce humidification and dehumidification loads and therefore energy consumption. A summary of ASHRAE environmental guidelines can be found at: https://www.ashrae.org/File%20Library/Technical%20Resources/Publication%20Errata%20and%20Update s/90577_errata.pdf",Entire Data Centre,4,"The organisation shall reduce the lower humidity set point(s) of the data centre within the ASHRAE Class A2 range. Note: Some data centres may contain equipment with legacy environmental ranges as defined in 4.1.2, the humidity range for these facilities will be restricted by this equipment until segregation can be achieved as described in Practices 5.1.11, 5.1.4 and 5.1.5. Controlling humidity within a wider range of humidity ratio or relative humidity can reduce humidification and dehumidification loads and therefore energy consumption. A summary of ASHRAE environmental guidelines can be found at: https://www.ashrae.org/file%20library/technical%20resources/bookstore/supplemental%20files/referencecard_2021thermalg uidelines.pdf","Approved data centre operation procedures document, live-demonstration of BMS, EMS and DCiM if in use or updated Design documents"
5.3.3,"Expanded IT equipment inlet environmental conditions (temperature and humidity)","Where appropriate and effective, Data Centres can be designed and operated within the air inlet temperature and relative humidity ranges of 5°C to 40°C and 5% to 80% rh, non-condensing respectively, and under exceptional conditions up to +45°C as described in ETSI EN 300 019–1-3 Class 3.1. Note: Using the full range up to 40°C or 45°C will allow for the complete elimination of refrigeration in most climates allowing the operator to eliminate the capital and maintenance cost of the cooling systems.",Optional,5,"The organisation shall consider designing and operating Data Centres within the air inlet temperature and relative humidity ranges of 5°C to 40°C and 5% to 80% rh, avoiding condensing conditions, and under exceptional conditions up to +45°C as described in ETSI EN 300 019–1-3 Class 3.1.","Result of the assessment Updated & approved IT equipment selection & procurement process & manufacturer data sheet Updated design documents Meeting minutes (See Best Practice 3.1.1. 'Group Involvement' of this Framework)"
5.3.4,"Separate environmental zones","Where a data centre houses both IT equipment compliant with the extended range of Practice 4.1.3 and other equipment which requires more restrictive temperature or humidity control as described in Practice 4.1.2, separate areas should be provided. These areas should have separate environmental controls and may use separate cooling systems to facilitate optimisation of the cooling efficiency of each zone. Examples are equipment which;␟ Requires tighter environmental controls to maintain battery capacity and lifetime such as UPS␟ Requires tighter environmental controls to meet archival criteria such as tape␟ Requires tighter environmental controls to meet long warranty durations (10+ year). The objective of this Practice is to avoid the need to set the data centre cooling plant for the equipment with the most restrictive environmental range and therefore compromising the efficiency of the entire data centre.",New build of retrofit,4,"The organisation, where a data centre houses both IT equipment compliant with the extended range of Practice 4.1.3 and other equipment which requires more restrictive temperature or humidity control as described in Practice 4.1.2, shall consider providing separate environmental zones/areas. These areas should have separate environmental controls and may use separate cooling systems to facilitate optimisation of the cooling efficiency of each zone. Examples are equipment which;• Requires tighter environmental controls to maintain battery capacity and lifetime such as UPS• Requires tighter environmental controls to meet archival criteria such as tape• Requires tighter environmental controls to meet long warranty durations (10+ year) The objective of this Practice is to avoid the need to set the data centre cooling plant for the equipment with the most restrictive environmental range and therefore compromising the efficiency of the entire datacentre.","Layouts/Design Documents/On site inspection/DCiM/EMS/BMS Data"
5.3.5,"Separate environmental zones – Colocation or Managed Service Provider","Customers requiring extremely tight environmental control or items such as legacy equipment should not compromise the Entire Data Centre, for specific items of equipment. Service providers should design in such a way that discrete areas may be offered to customers with additional 'close control' cooling equipment in order to match specific requirements this and therefore offer a tighter SLA that would inevitably involve reduced energy efficiency. These legacy equipment support areas may be differentially priced to include the capital and operational (Metered), cost overhead of supporting a less energy efficient legacy environment as an incentive for customers to install IT equipment in more efficient areas and consider the options for more energy efficient delivery of IT services.",New build of retrofit,4,"Colocation organisations shall provide separate environmental zones for customers that require extremely tight environmental control or items such as legacy equipment so that they should not compromise the entire data centre for specific items of legacy equipment. Service providers should design in such a way that discrete areas may be offered to customers with additional “close control” cooling equipment in order to match specific requirements this and therefore offer a tighter SLA that would inevitably involve reduced energy efficiency. These legacy equipment support areas may be differentially priced to include the capital and operational (Metered), cost overhead of supporting a less energy efficient legacy environment as an incentive for customers to install IT equipment in more efficient areas and consider the options for more energy efficient delivery of IT services.","Cooling distribution layouts/Contract/On site inspection/DCiM/EMS/BMS Data Result of the assessment"
5.4.1.1,"Direct air free cooling","External air is used to cool the facility with different operating modes usually deployed. When outdoor conditions are cold exhaust air can be re-circulated and mixed with intake air to control supply air temperature and humidity. In many cases full mechanical cooling /refrigeration capacity is required as a backup to allow operation during periods of high airborne pollutant (E.G. External fires). For this reason special attention should be focussed on external air quality monitoring and filtration. Additional backup mechanical cooling with chiller or CRAC may also be considered to ensure cooling at extreme ambient temperature and humidity conditions or for system redundancy. Note: This design tends to have the lowest temperature difference between external temperature and IT supply air. Note: IT equipment is likely to be exposed to a large humidity range to allow direct air free cooling to work effectively. The achievable free cooling hours are directly constrained by the chosen upper humidity limit.",Optional,5,"The organisation shall consider External air is used to cool the facility with different operating modes usually deployed. When outdoor conditions are cold exhaust air can be re-circulated and mixed with intake air to control supply air temperature and humidity. In many cases full mechanical cooling/refrigeration capacity is required as a backup to allow operation during periods of high airborne pollutant (E.G. External fires). For this reason special attention should be focussed on external air quality monitoring and filtration. Additional backup mechanical cooling with chiller or CRAC may also be considered to ensure cooling at extreme ambient temperature and humidity conditions or for system redundancy. Note: This design tends to have the lowest temperature difference between external temperature and IT supply air. Note: IT equipment is likely to be exposed to a large humidity range to allow direct air free cooling to work effectively. The achievable free cooling hours are directly constrained by the chosen upper humidity limit.","Inspection free cooling operation mode according climate conditions/DCiM/EMS/BMS Data and Layout/Design Documents and commissioning documents"
5.4.1.2,"Indirect air free cooling","Recirculated air within the facility is primarily passed through an air to air heat exchanger against external air (may have adiabatic cooling) to remove heat to the atmosphere. A variation of this is a thermal wheel, quasi –indirect free cooling system. This design tends to have a low temperature difference between external temperature and IT supply air. Note: The operating IT equipment humidity range may be well controlled at negligible energy cost in this type of design. Note: Air filtration demand is lower compared to direct air free cooling as data centre air is circulating and no external air is induced.",Optional,5,"The organisation shall consider circulating air within the facility through an air to air heat exchanger against external air (may have adiabaticcooling) to reject heat to the atmosphere. Avariation of this is a thermal wheel, quasi –indirect free cooling system.This design tends to have a low temperaturedifference between external temperature andIT supply air.Note: The operating IT equipment humidityrange may be well controlled at negligibleenergy cost in this type of design.Note: Air filtration demand is lower comparedto direct air free cooling as data centre air iscirculating and no external air is induced.","Inspection AHU Data and presence of air free cooling/Design documents/DCiM/EMS/BMS Data"
5.4.1.3,"Indirect water free cooling with CRAH and dry cooler or cooling tower","Chilled water cooled by the external ambient air via a free cooling coil. This may be achieved by dry coolers or by evaporative assistance through spray onto the dry coolers. This design tends to have a highe temperature difference between external temperature and IT supply air. Note: Operating IT equipment humidity range may be well controlled at negligible energy cost in this type of design. Note: In this system additional backup mechanical cooling with chiller or CRAC may be considered to ensure cooling at extreme ambient temperature and humidity conditions or for system redundancy.",Optional,5,"The organisation shall consider designing cooling systems that produce chilled water cooled by external ambient air via a free cooling coil.","Use of free cooling coils/On site inspection/DCiM/EMS/BMS Data and Design Documents"
5.4.1.8,"Free Cooling installation","Investigate the installation of free cooling in all new builds and retrofits or upgrades of cooling systems.",New build of retrofit,5,"The organisation shall consider free cooling installations in all new buildings and retrofits or upgrades of cooling systems.","Inspection free cooling system/On site inspection/DCiM/EMS/BMS Data"
5.4.2.1,"Chillers with high COP (EER)","Where refrigeration^ {1} is installed make the Coefficient Of Performance (COP) or Energy Efficiency Ratio (EER) of chiller systems through their likely working range a high priority decision factor during procurement of new plant.",New build of retrofit,3,"When new cooling systems are planned, the Coefficient Of Performance (COP) or Energy Efficiency Ratio (EER) shall be a prioritised criteria in the planning, selection and procurement process.","Cooling plant documentation. Procurement Documents, Design Documents"
5.4.2.2,"Cooling system operating temperatures","Evaluate the opportunity to decrease condensing temperature and increase evaporating temperature; reducing delta T between these temperatures means less work is required in cooling cycle hence improved efficiency. These temperatures are dependent on required IT equipment intake air temperatures and the quality of air flow management (see Temperature and Humidity Settings).",Entire Data Centre,3,"The operator shall evaluate the opportunity to decrease condensing temperature and increase evaporating temperature.","Design documents/DCiM/EMS/BMS Data"
5.4.2.3,"Efficient part load operation","Optimise the facility for the partial load it will experience for the majority of operational time rather than max load. Examples are exploiting the heat exchange area, reducing fan energy consumption, sequencing chillers and operating cooling towers with shared load.",New build of retrofit,3,"The organisation shall optimise the design of the cooling plant for the load situation it will experience for the majority of the operational time, rather than the maximum load.","Design documents/DCiM/EMS/BMS Data"
5.4.2.4,"Variable speed drives for compressors, pumps and fans","Using variable speed control reduces energy consumption for these components in the part load condition where they operate for much of the time. Consider new or retrofit of Electrically Commutated (EC) motors which are significantly more energy efficient than traditional AC motors across a wide range of speeds. In addition to installing variable speed drives it is critical to include the ability to properly control the speed according to demand. It is of limited value to install drives which are manually set at a constant speed or have limited control settings.",New build of retrofit,2,"The organisation shall install, where feasible, variable speed drives and the corresponding management mechanism to control the speed of compressors, pumps and fans for the load conditions they operate in the majority of the time. The organisation shall consider installing new or retrofit of Electrically Commutated (EC) motors which aresignificantly more energy efficient thantraditional AC motors across a wide range of speeds.","Design documents/DCiM/EMS/BMS Data"
5.4.2.5,"Select systems which facilitate the use of 'Free Cooling'","Cooling designs should be chosen which allow the use of as much 'Free Cooling' as is possible according to the physical site constraints, local climatic or regulatory conditions that may be applicable. Select systems which facilitate the use of free cooling. In some data centres it may be possible to use direct or indirect air side free cooling. Others may not have sufficient available space and may require a chilled liquid cooling system to allow the effective use of economised cooling.",New build of retrofit,5,"The organisation shall choose cooling designs which allow the use of as much free cooling as possible with respect to physical site constraints, local climate or applicable regulatory conditions.","Design documents/DCiM/EMS/BMS Data"
